product_id,units_sold,revenue,product_cost,impressions,clicks,ad_spend,ad_attributed_units,fulfilment_fees,profit,product_name,category,tier,selling_price,unit_cost,ad_strategy,cpc,roas,acos,profit_margin_pct,click_to_order_proxy,waste_flag,scale_flag,margin_pressure_flag
SKU001,503,20672.74,12459.31,411693,10622,9039.85,538,891.99,-1718.41,LED Mirror Pro,Beauty,Mid,41.7,24.77,Average,0.8510497081528903,2.286845467568599,0.43728359182188714,-0.08312444310720302,0.05064959517981548,0,0,0
SKU002,2059,21509.99,14001.2,395750,9246,2843.96,1009,3680.29,984.54,Scalp Massager Plus,Beauty,Budget,10.57,6.8,Average,0.30758814622539477,7.563393999915611,0.13221577508869134,0.04577129045620197,0.109128271685053,0,0,0
SKU003,644,15058.37,8140.160000000001,334815,20092,18615.89,3972,1196.66,-12894.34,Wireless Charger Max,Electronics,Mid,23.53,12.64,Efficient,0.9265324507266574,0.8088987418812639,1.236248677645721,-0.85629055468819,0.1976906231335855,1,0,0
SKU004,2803,48486.43,26432.29,328504,10582,9176.28,686,4878.43,7999.43,Dog Toy Max,Pet Supplies,Budget,17.57,9.43,Efficient,0.8671593271593272,5.283887370481284,0.18925460175145914,0.16498286221526312,0.06482706482706482,0,0,0
SKU005,804,102042.16,43560.72,403016,20001,7374.0,813,1389.96,49717.48,Foam Roller Lite,Fitness,Premium,128.64,54.18,Average,0.3686815659217039,13.838101437483049,0.07226424842437675,0.4872248882226719,0.04064796760161992,0,1,0
SKU006,1477,28602.38,18093.25,391988,6833,1609.44,957,2614.78,6284.91,Treat Pouch Lite,Pet Supplies,Budget,19.6,12.25,Average,0.23553929459973658,17.77163485435928,0.05626944331206005,0.21973381236106923,0.14005561246890091,0,0,0
SKU007,2129,37707.71,18096.5,163376,7023,7105.61,1237,3921.06,8584.54,Air Fryer Liner Pro,Home & Kitchen,Budget,17.96,8.5,Underinvested,1.011762779438986,5.306751988921429,0.18843918127088596,0.2276600727013123,0.1761355546062936,0,0,0
SKU008,1147,48731.42,21701.24,324255,15585,10680.82,2530,2132.26,14217.1,LED Lamp Lite,Home & Kitchen,Mid,43.04,18.92,Efficient,0.6853269169072826,4.562516735606442,0.21917727823240118,0.29174401238461756,0.16233557908245108,0,0,0
SKU009,2278,21378.04,16014.34,403344,13264,5574.22,2051,4194.81,-4405.33,USB Hub Plus,Electronics,Budget,9.51,7.03,Average,0.4202518094089264,3.8351625877701276,0.2607451384691955,-0.2060680024922771,0.15462907117008443,0,0,0
SKU010,740,82025.17,41965.4,391191,9443,6132.74,360,1368.67,32558.36,Laptop Sleeve Max,Electronics,Premium,111.89,56.71,Average,0.6494482685587207,13.374962904020062,0.07476656250758151,0.3969313321752335,0.0381234777083554,0,1,0
SKU011,2832,27145.95,17190.24,385847,14777,7853.56,428,5093.37,-2991.22,Scalp Massager Pro,Beauty,Budget,9.71,6.07,Average,0.5314718819787508,3.456515261868503,0.2893087182434212,-0.11019028621212372,0.028963930432428776,0,0,0
SKU012,648,19821.8,13303.44,319373,13018,2652.81,1338,1136.04,2729.51,USB Hub Lite,Electronics,Mid,30.89,20.53,Efficient,0.203780150560762,7.472001387208281,0.1338329515987448,0.13770242863917506,0.10278076509448456,0,0,0
SKU013,872,23136.489999999998,9400.16,163744,4996,2474.28,195,1489.33,9772.72,Scalp Massager Plus,Beauty,Mid,26.89,10.78,Underinvested,0.49525220176140916,9.350796999531175,0.10694275579398606,0.4223942352534892,0.039031224979983986,0,1,0
SKU014,1114,17327.32,9513.56,388907,8480,5552.98,1193,2034.16,226.61999999999998,Skipping Rope Max,Fitness,Budget,15.74,8.54,Average,0.6548325471698113,3.120364200843511,0.3204754110849225,0.013078768095700893,0.14068396226415095,0,0,0
